sub.id,sub.name,sub.sys,sub.status,pri.id,pri.name,pri.status,start,end
423,AMERICUS UTILITY COMMISSION,GD,ACTIVE,423,AMERICUS UTILITY COMMISSION,Current,1995-04-20,2025-01-31
473,"WESTERN MIDSTREAM PARTNERS, LP",GD,ACTIVE,473,ANADARKO PETROLEUM CORP,Current,1995-04-20,2025-01-31
473,"WESTERN MIDSTREAM PARTNERS, LP",GT,ACTIVE,473,ANADARKO PETROLEUM CORP,Current,1995-04-20,2025-01-31
473,"WESTERN MIDSTREAM PARTNERS, LP",HL,ACTIVE,473,ANADARKO PETROLEUM CORP,Current,1995-04-20,2025-01-31
495,"ANDERSONVILLE GAS SYSTEM, CITY OF",GD,ACTIVE,495,"ANDERSONVILLE GAS SYSTEM, CITY OF",Current,1995-05-24,2025-01-31
504,ANDREASSI GAS COMPANY,GD,ACTIVE,504,ANDREASSI GAS COMPANY,Current,1987-06-04,2025-01-31
515,DAKOTA GASIFICATION COMPANY,GT,ACTIVE,515,DAKOTA GASIFICATION COMPANY,Current,1995-06-05,2025-01-31
515,DAKOTA GASIFICATION COMPANY,HL,ACTIVE,515,DAKOTA GASIFICATION COMPANY,Current,1995-06-05,2025-01-31
522,ANNA MUNICIPAL GAS CO,GD,ACTIVE,522,ANNA MUNICIPAL GAS CO,Current,1995-04-20,2025-01-31
558,APPLEBY NATURAL GAS SYSTEM,GD,ACTIVE,558,APPLEBY NATURAL GAS SYSTEM,Current,1995-05-24,2025-01-31
570,FERNDALE PIPELINE SYSTEM,GT,ACTIVE,31189,BP,Current,1995-04-20,2025-01-31
576,"ARGONIA MUNICIPAL SYSTEM, CITY OF",GD,ACTIVE,576,"ARGONIA MUNICIPAL SYSTEM, CITY OF",Current,1995-04-20,2025-01-31
585,ARGYLE MUNICIPAL GAS SYSTEM,GD,ACTIVE,585,ARGYLE MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
585,ARGYLE MUNICIPAL GAS SYSTEM,GT,ACTIVE,585,ARGYLE MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
602,"ENABLE GAS TRANSMISSION, LLC",GT,ACTIVE,32099,Energy Transfer,Current,2022-07-01,2025-01-31
602,"ENABLE GAS TRANSMISSION, LLC",GT,ACTIVE,31202,Enable Midstream,Superseded,2015-04-01,2022-06-30
602,"ENABLE GAS TRANSMISSION, LLC",GT,ACTIVE,602,CenterPoint,Superseded,1995-05-24,2015-03-31
602,"ENABLE GAS TRANSMISSION, LLC",UNGS,ACTIVE,32099,Energy Transfer,Current,2022-07-01,2025-01-31
602,"ENABLE GAS TRANSMISSION, LLC",UNGS,ACTIVE,31202,Enable Midstream,Superseded,2017-01-18,2022-06-30
603,SUMMIT UTILITIES INC.,GD,ACTIVE,603,CENTERPOINT ENERGY RESOURCES CORP.,Current,1987-06-04,2025-01-31
603,SUMMIT UTILITIES INC.,GT,ACTIVE,603,CENTERPOINT ENERGY RESOURCES CORP.,Current,1987-06-04,2025-01-31
612,CITY OF ROCKPORT,GD,ACTIVE,612,CITY OF ROCKPORT,Current,1995-05-24,2025-01-31
621,ARKANSAS OKLAHOMA GAS CORP,GD,ACTIVE,621,ARKANSAS OKLAHOMA GAS CORP,Current,1995-05-24,2025-01-31
621,ARKANSAS OKLAHOMA GAS CORP,GT,ACTIVE,621,ARKANSAS OKLAHOMA GAS CORP,Current,1995-05-24,2025-01-31
630,SOURCEGAS ARKANSAS INC.,GD,INACTIVE,10030,SourceGas,Current,1995-05-24,2025-01-31
630,SOURCEGAS ARKANSAS INC.,GT,INACTIVE,10030,SourceGas,Current,1995-05-24,2025-01-31
648,"ARLINGTON GAS SYSTEM, CITY OF",GD,ACTIVE,648,New Commonwealth,Current,1995-04-20,2025-01-31
660,"ARLINGTON ENERGY GROUP, LLC",GT,ACTIVE,660,"ARLINGTON GAS PIPELINE CO, LP",Current,1995-04-21,2025-01-31
666,ARLINGTON NATURAL GAS CO,GD,ACTIVE,666,ARLINGTON NATURAL GAS CO,Current,1995-04-20,2025-01-31
675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",GD,ACTIVE,675,"ARNAUDVILLE MUNICIPLE SYSTEM, TOWN OF",Current,1995-04-20,2025-01-31
702,"ASHBURN GAS DEPT, CITY OF",GD,ACTIVE,702,"ASHBURN GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
729,"ASHLAND MUNICIPAL GAS, TOWN OF",GD,ACTIVE,729,"ASHLAND MUNICIPAL GAS, TOWN OF",Current,1995-04-20,2025-01-31
766,ATHENS GAS DEPARTMENT,GD,ACTIVE,766,ATHENS GAS DEPARTMENT,Current,1995-04-20,2025-01-31
774,ATHENS UTILITIES BOARD,GD,ACTIVE,774,ATHENS UTILITIES BOARD,Current,1995-04-20,2025-01-31
792,ATLANTA GAS LIGHT CO,GD,ACTIVE,792,Atlanta Gas Light,Current,1995-05-24,2025-01-31
792,ATLANTA GAS LIGHT CO,GT,ACTIVE,792,Atlanta Gas Light,Current,1995-05-24,2025-01-31
828,"WEST ESCAMBIA UTILITIES, INC.",GD,ACTIVE,828,"ATMORE UTILITIES BOARD, CITY OF",Current,1995-04-20,2025-01-31
837,"ATTICA GAS DEPT, CITY OF",GD,INACTIVE,837,"ATTICA GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
840,MOJAVE PIPELINE OPERATING COMPANY,GT,ACTIVE,2564,Kinder Morgan,Current,1995-04-21,2025-01-31
842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,GD,ACTIVE,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,Current,1995-04-21,2025-01-31
842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,GT,ACTIVE,842,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,Current,1995-04-21,2025-01-31
844,KERN RIVER GAS TRANSMISSION CO,GT,ACTIVE,844,KERN RIVER GAS TRANSMISSION CO,Current,1995-04-21,2025-01-31
846,"AUBURN, CITY OF",GD,ACTIVE,846,"AUBURN, CITY OF",Current,1995-05-24,2025-01-31
855,"AUBURN GAS DEPT, CITY OF",GD,ACTIVE,855,"AUBURN GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
857,"MARKWEST PINNACLE, L.L.C.",GT,INACTIVE,857,"MARKWEST PINNACLE PNG UTILITY, LLC",Current,1995-04-21,2025-01-31
860,"FAIRBANK, CITY OF",GD,ACTIVE,860,"FAIRBANK, CITY OF",Current,1995-04-20,2025-01-31
860,"FAIRBANK, CITY OF",GT,ACTIVE,860,"FAIRBANK, CITY OF",Current,1995-04-20,2025-01-31
861,NEWFIELD EXPLORATION COMPANY,GT,INACTIVE,861,NEWFIELD EXPLORATION COMPANY,Current,1995-04-20,2025-01-31
864,"AUGUSTA, CITY OF",GD,ACTIVE,864,"AUGUSTA, CITY OF",Current,1987-06-04,2025-01-31
872,LAFITTE GAS PIPELINE,GT,ACTIVE,872,LAFITTE GAS PIPELINE,Current,1993-04-28,2025-01-31
873,"AUGUSTA LIGHT WATER & GAS, CITY OF",GD,ACTIVE,873,"AUGUSTA LIGHT WATER & GAS, CITY OF",Current,1987-06-04,2025-01-31
878,EAST KENTUCKY MIDSTREAM,GT,ACTIVE,878,"JEFFERSON GAS, LLC",Current,1995-05-03,2025-01-31
879,CHEMOIL TERMINALS LLC,HL,INACTIVE,879,CHEMOIL TERMINALS CORP.,Current,1993-05-05,2025-01-31
882,"AURORA GAS SYSTEMS, CITY OF",GD,INACTIVE,882,"AURORA GAS SYSTEMS, CITY OF",Current,1987-06-04,2025-01-31
883,WESTBROOK PUBLIC UTILITIES,GD,ACTIVE,883,WESTBROOK PUBLIC UTILITIES,Current,1995-04-20,2025-01-31
885,AURORA GAS CO,GD,ACTIVE,885,AURORA GAS CO,Current,1995-04-20,2025-01-31
887,Onalaska Water and Gas Supply,GD,ACTIVE,887,Onalaska Water and Gas Supply,Current,1995-05-24,2025-01-31
888,COMMUNITY UTILITIES CO.,GD,ACTIVE,888,COMMUNITY UTILITIES CO.,Current,1995-04-20,2025-01-31
891,AURORA UTILITIES,GD,ACTIVE,891,AURORA UTILITIES,Current,1995-04-20,2025-01-31
893,STUART GAS CO,GD,ACTIVE,893,STUART GAS CO,Current,1995-04-20,2025-01-31
895,KEYSTONE RURAL GAS DISTRICT #1,GD,ACTIVE,895,KEYSTONE RURAL GAS DISTRICT #1,Current,1995-04-20,2025-01-31
899,5P GAS PIPELINE COMPANY,GT,ACTIVE,899,5P GAS PIPELINE COMPANY,Current,1993-06-25,2025-01-31
909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",GD,ACTIVE,909,"AUSTELL NATURAL GAS SYSTEM, CITY OF",Current,1987-06-04,2025-01-31
918,AUSTIN UTILITIES,GD,ACTIVE,918,AUSTIN UTILITIES,Current,1995-05-24,2025-01-31
920,NATGAS INC.,GD,ACTIVE,920,NATGAS INC.,Current,1995-04-20,2025-01-31
924,"ST. JAMES GAS DEPT., CITY OF",GD,ACTIVE,924,"ST. JAMES GAS DEPT., CITY OF",Current,1995-05-24,2025-01-31
926,OMEGA PIPELINE CO,GD,ACTIVE,926,OMEGA PIPELINE CO,Current,1995-05-24,2025-01-31
927,AUXIER ROAD GAS CO INC,GD,INACTIVE,32601,KENTUCKY FRONTIER,Current,1995-06-06,2025-01-31
929,"SEBRING GAS SYSTEM, INC",GD,ACTIVE,929,"SEBRING GAS SYSTEM, INC",Current,2013-12-02,2025-01-31
929,"SEBRING GAS SYSTEM, INC",GT,ACTIVE,929,"SEBRING GAS SYSTEM, INC",Current,2013-11-29,2025-01-31
933,AVANT UTILITIES AUTH,GD,ACTIVE,933,AVANT UTILITIES AUTH,Current,1991-04-09,2025-01-31
952,ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP,GT,ACTIVE,952,ENERFIN RESOURCES II-92 LIMITED PARTNERSHIP,Current,1995-05-03,2025-01-31
967,"PINEDALE NATURAL GAS, INC",GD,ACTIVE,967,"PINEDALE NATURAL GAS, INC",Current,1995-04-20,2025-01-31
967,"PINEDALE NATURAL GAS, INC",GT,ACTIVE,967,"PINEDALE NATURAL GAS, INC",Current,1995-04-20,2025-01-31
968,"UNIVERSAL NATURAL GAS, INC.",GD,ACTIVE,968,TX Gas,Current,1995-05-24,2025-01-31
969,BALDWYN MUN GAS SYST,GD,ACTIVE,969,BALDWYN MUN GAS SYST,Current,1995-04-20,2025-01-31
972,"CLIFTON GAS DEPT, CITY OF",GD,ACTIVE,972,"CLIFTON GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
976,"BURKESVILLE GAS CO, INC.",GD,ACTIVE,976,Burkesville,Current,1995-06-01,2025-01-31
977,"LAKIN, CITY OF",GT,INACTIVE,977,"LAKIN, CITY OF",Current,1995-04-20,2025-01-31
978,LAWRENCE PAPER CO,GD,ACTIVE,978,LAWRENCE PAPER CO,Current,1995-04-20,2025-01-31
978,LAWRENCE PAPER CO,GT,ACTIVE,978,LAWRENCE PAPER CO,Current,1995-04-20,2025-01-31
980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,GD,ACTIVE,980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,Current,1995-05-24,2025-01-31
980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,GT,ACTIVE,980,APPALACHIAN NATURAL GAS DISTRIBUTION COMPANY,Current,1995-05-24,2025-01-31
986,HARTLEY MUNICIPAL UTILITIES,GD,ACTIVE,986,HARTLEY MUNICIPAL UTILITIES,Current,1995-04-20,2025-01-31
993,CROSSROADS PIPELINE COMPANY,GT,ACTIVE,405,TransCanada,Current,2018-01-01,2025-01-31
993,CROSSROADS PIPELINE COMPANY,GT,ACTIVE,2616,NiSource,Superseded,1995-04-20,2017-12-31
994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",GT,ACTIVE,30826,Williams Field,Current,1995-04-21,2025-01-31
994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",HL,ACTIVE,30826,Williams Field,Current,1995-04-21,2025-01-31
997,MIDWAY SUNSET COGENERATION CO,GT,ACTIVE,997,MIDWAY SUNSET COGENERATION CO,Current,1995-04-21,2025-01-31
999,"PACIFIC COAST ENERGY COMPANY, LP",HL,ACTIVE,999,Breitburn,Current,1995-04-20,2025-01-31
1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",GT,ACTIVE,1007,Tallgrass,Current,1995-05-03,2025-01-31
1007,"TALLGRASS INTERSTATE GAS TRANSMISSION, LLC",UNGS,ACTIVE,1007,Tallgrass,Current,2017-01-18,2025-01-31
1031,ONYX PIPELINE CO,GD,INACTIVE,1031,ONYX PIPELINE CO,Current,1994-09-19,2025-01-31
1031,ONYX PIPELINE CO,GT,INACTIVE,1031,ONYX PIPELINE CO,Current,1994-09-19,2025-01-31
1042,J CLEO THOMPSON,GT,INACTIVE,1042,J CLEO THOMPSON,Current,1995-04-20,2025-01-31
1048,"BAINBRIDGE GAS DEPT, CITY OF",GD,ACTIVE,1048,"BAINBRIDGE GAS DEPT, CITY OF",Current,1995-05-24,2025-01-31
1056,BAINBRIDGE MUNICIPAL GAS,GD,ACTIVE,1056,BAINBRIDGE MUNICIPAL GAS,Current,1995-04-20,2025-01-31
1064,BAKER UTILITY SYSTEM,GD,ACTIVE,1064,BAKER UTILITY SYSTEM,Current,1995-05-24,2025-01-31
1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF",GD,ACTIVE,1072,"BALDWIN MUNICIPAL SYSTEM, TOWN OF",Current,1987-06-04,2025-01-31
1088,BALTIMORE GAS AND ELECTRIC COMPANY,GD,ACTIVE,1088,BALTIMORE GAS & ELECTRIC CO,Current,1995-05-24,2025-01-31
1088,BALTIMORE GAS AND ELECTRIC COMPANY,GT,ACTIVE,1088,BALTIMORE GAS & ELECTRIC CO,Current,1995-05-24,2025-01-31
1096,BAMBERG BOARD OF PUBLIC WORKS,GD,ACTIVE,1096,BAMBERG BOARD OF PUBLIC WORKS,Current,1987-06-04,2025-01-31
1120,"BARDWELL GAS SYSTEM, CITY OF",GD,ACTIVE,1120,"BARDWELL GAS SYSTEM, CITY OF",Current,1995-04-20,2025-01-31
1128,BARLOW NATURAL GAS SYSTEM,GD,ACTIVE,648,New Commonwealth,Current,1995-04-20,2025-01-31
1134,BARROW UTILITIES & ELECTRIC CORP,GD,ACTIVE,1134,BARROW UTILITIES & ELECTRIC CORP,Current,1995-04-20,2025-01-31
1136,"BASILE, TOWN OF",GD,ACTIVE,1136,"BASILE, TOWN OF",Current,1995-04-20,2025-01-31
1152,"BATESVILLE GAS DEPT, CITY OF",GD,ACTIVE,1152,"BATESVILLE GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
1160,BATESVILLE GAS UTILITY,GD,ACTIVE,1160,BATESVILLE GAS UTILITY,Current,1995-04-20,2025-01-31
1168,BATH ELECTRIC GAS & WATER SYSTEMS,GD,ACTIVE,1168,BATH ELECTRIC GAS & WATER SYSTEMS,Current,1995-04-20,2025-01-31
1184,BAY CITY MUNICIPAL GAS SYSTEM,GD,ACTIVE,1184,BAY CITY MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1192,NORTH BALDWIN UTILITIES,GD,ACTIVE,1192,NORTH BALDWIN UTILITIES,Current,1995-05-24,2025-01-31
1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF",GD,ACTIVE,1200,"BAY ST LOUIS MUNICIPLE GAS, CITY OF",Current,1995-04-20,2025-01-31
1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",GD,ACTIVE,1208,"BAY SPRINGS NATURAL GAS SYSTEM, TOWN OF",Current,1995-05-24,2025-01-31
1209,COLUMBIA GAS OF MASSACHUSETTS,GD,INACTIVE,1209,COLUMBIA GAS OF MASSACHUSETTS,Current,1995-05-24,2025-01-31
1209,COLUMBIA GAS OF MASSACHUSETTS,GT,INACTIVE,1209,COLUMBIA GAS OF MASSACHUSETTS,Current,1995-05-24,2025-01-31
1217,BEAR CREEK STORAGE CO,GT,ACTIVE,2564,Kinder Morgan,Current,1995-04-20,2025-01-31
1217,BEAR CREEK STORAGE CO,UNGS,ACTIVE,2564,Kinder Morgan,Current,2017-01-18,2025-01-31
1224,"BEAUMONT MUNICIPAL GAS, TOWN OF",GD,ACTIVE,1224,"BEAUMONT MUNICIPAL GAS, TOWN OF",Current,1995-04-20,2025-01-31
1232,BEDFORD NATURAL GAS SYSTEM,GD,ACTIVE,1232,BEDFORD NATURAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1232,BEDFORD NATURAL GAS SYSTEM,GT,ACTIVE,1232,BEDFORD NATURAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1240,BELFRY GAS INC,GD,INACTIVE,32601,KENTUCKY FRONTIER,Current,1995-05-24,2025-01-31
1248,BELLE FOURCHE PIPELINE CO,HL,INACTIVE,1248,Belle Fourche Pipeline Co.,Current,1987-06-04,2025-01-31
1256,BELLE RIVE GAS CO,GD,ACTIVE,1256,BELLE RIVE GAS CO,Current,1995-04-20,2025-01-31
1272,"BELLVILLE, CITY OF",GD,ACTIVE,1272,"BELLVILLE, CITY OF",Current,1995-05-24,2025-01-31
1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF",GD,ACTIVE,1280,"BELMONT NATURAL GAS SYSTEM, TOWN OF",Current,1995-04-20,2025-01-31
1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",GD,ACTIVE,1304,"BENNETTSVILLE ELECTRIC & GAS, CITY OF",Current,1995-04-20,2025-01-31
1312,CITY OF BENSON,GD,ACTIVE,1312,CITY OF BENSON,Current,1995-04-20,2025-01-31
1328,"BENTON GAS SYSTEM, CITY OF",GD,ACTIVE,1328,"BENTON GAS SYSTEM, CITY OF",Current,1987-06-04,2025-01-31
1336,BERGER CITY NATURAL GAS SYSTEM,GD,ACTIVE,1336,BERGER CITY NATURAL GAS SYSTEM,Current,1987-06-04,2025-01-31
1344,BERKSHIRE GAS CO,GD,ACTIVE,1344,BERKSHIRE GAS CO,Current,1995-05-24,2025-01-31
1360,"BERNIE MUNICIPAL SYSTEM, CITY OF",GD,ACTIVE,1360,"BERNIE MUNICIPAL SYSTEM, CITY OF",Current,1995-05-24,2025-01-31
1376,"BERWICK, TOWN OF",GD,ACTIVE,1376,"BERWICK, TOWN OF",Current,1995-04-20,2025-01-31
1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",GD,ACTIVE,1384,"BESSEMER CITY MUNICIPAL SYSTEM, CITY OF",Current,1995-05-24,2025-01-31
1392,BETHANY MUNICIPAL GAS SYSTEM,GD,ACTIVE,1392,BETHANY MUNICIPAL GAS SYSTEM,Current,1995-04-20,2025-01-31
1400,BETHANY MUNICIPAL GAS SYSTEM,GD,ACTIVE,1400,BETHANY MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1408,"BIG LAKE GAS DEPT, CITY OF",GD,ACTIVE,1408,"BIG LAKE GAS DEPT, CITY OF",Current,1995-04-20,2025-01-31
1448,"BILLINGS GAS CO, TOWN OF",GD,ACTIVE,1448,"BILLINGS GAS CO, TOWN OF",Current,1995-04-20,2025-01-31
1456,"BISMARCK GAS SYSTEM, CITY OF",GD,ACTIVE,1456,"BISMARCK GAS SYSTEM, CITY OF",Current,1995-05-24,2025-01-31
1472,BLACK MARLIN PIPELINE CO,GT,ACTIVE,30826,Williams Field,Current,1995-05-03,2025-01-31
1486,BLACK WARRIOR TRANSMISSION CORP,GT,ACTIVE,1486,BLACK WARRIOR TRANSMISSION CORP,Current,1995-04-20,2025-01-31
1504,BLACKSTONE GAS CO,GD,INACTIVE,1504,BLACKSTONE GAS CO,Current,1995-04-20,2025-01-31
1512,CARDINAL NATURAL GAS NORTHERN DIV. - BLACKSVILLE,GD,INACTIVE,1512,BLACKSVILLE OIL & GAS CO,Current,1995-05-24,2025-01-31
1520,"BLAKELY GAS DEPT, CITY OF",GD,ACTIVE,1520,"BLAKELY GAS DEPT, CITY OF",Current,1995-05-24,2025-01-31
1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF",GD,ACTIVE,1536,"BLOOMFIELD MUNICIPAL GAS, CITY OF",Current,1995-04-20,2025-01-31
1541,"HILCORP NORTH SLOPE, LLC",GT,ACTIVE,31189,BP,Current,1987-06-04,2025-01-31
1541,"HILCORP NORTH SLOPE, LLC",HL,ACTIVE,32645,"HILCORP ALASKA, LLC",Current,2020-07-01,2025-01-31
1541,"HILCORP NORTH SLOPE, LLC",HL,ACTIVE,1541,BP,Superseded,1987-06-04,2020-06-30
1544,"BLOUNTSTOWN, CITY OF",GD,ACTIVE,1544,"BLOUNTSTOWN, CITY OF",Current,1995-04-20,2025-01-31
1552,BLUE DOLPHIN PIPELINE COMPANY,GT,INACTIVE,1552,BLUE DOLPHIN PIPELINE COMPANY,Current,1995-04-21,2025-01-31
1560,CARDINAL NATURAL GAS COMPANY,GD,ACTIVE,1560,BLUEFIELD GAS CO,Current,1995-04-20,2025-01-31
1568,BLUFORD MUNICIPAL GAS SYSTEM,GD,ACTIVE,1568,BLUFORD MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1584,BOAZ GAS BOARD,GD,ACTIVE,1584,BOAZ GAS BOARD,Current,1995-04-20,2025-01-31
1592,"BOERNE UTILITY, CITY OF",GD,ACTIVE,1592,"BOERNE UTILITY, CITY OF",Current,1995-05-24,2025-01-31
1616,BOLIVAR GAS DEPT,GD,ACTIVE,1616,BOLIVAR GAS DEPT,Current,1995-04-20,2025-01-31
1622,"BOOKER GAS CO, CITY OF",GD,ACTIVE,1622,"BOOKER GAS CO, CITY OF",Current,1995-05-24,2025-01-31
1624,BOONEVILLE MUNICIPAL GAS SYSTEM,GD,ACTIVE,1624,BOONEVILLE MUNICIPAL GAS SYSTEM,Current,1995-05-24,2025-01-31
1632,BOONVILLE NATURAL GAS CORP,GD,ACTIVE,1632,BOONVILLE NATURAL GAS CORP,Current,1995-04-20,2025-01-31
1640,BOSTON GAS CO,GD,ACTIVE,11713,National Grid,Current,1995-05-24,2025-01-31
